,DATES,DATES.1,NetworkTyp,SuCode,Trit,jdate,well,cov,calc_3H_,por,model
5,1997-07-17,1997-07-17,LUS,eiwalusrc1,9.62,2450646.5,415825091405601,0.0009027951145520963,13.617654370036767,0.3999999999999568,huc_07080205_domain
6,2013-08-13,2013-08-13,PAS,glacpas1,1.03,2456517.5,421016092020201,0.28461896694838434,6.0222289063926855,0.39999999998505387,huc_07080205_domain
7,1997-07-22,1997-07-22,LUS,eiwaluscr1,9.53,2450651.5,422518092144701,0.020172810394364617,16.413319119799684,0.19572765086964133,huc_07080205_domain
8,1997-07-23,1997-07-23,LUS,eiwaluscr1,9.03,2450652.5,422629092345001,0.00013369299564553803,9.029999890171242,0.1294921219210953,huc_07080205_domain
9,1997-06-30,1997-06-30,LUS,eiwalusrc1,10.63,2450629.5,415827091392401,0.04927917413413207,15.378851995468535,0.1277640358133765,huc_07080205_domain
10,1997-07-22,1997-07-22,LUS,eiwaluscr1,11.03,2450651.5,421705092142501,2.77376003420555e-05,18.758284050772325,0.3485419214630376,huc_07080205_domain
11,1997-07-28,1997-07-28,LUS,eiwalusrc1,11.22,2450657.5,423459092523701,0.00015392463436680518,20.977612190797373,0.28948210826220866,huc_07080205_domain
12,1998-06-30,1998-06-30,SUS,eiwasus2,10.63,2450994.5,415637091581001,8.842798119235341e-05,19.449495468367,0.205,huc_07080205_domain
13,1998-07-06,1998-07-06,SUS,eiwasus2,0.31,2451000.5,421657092081801,0.06433070889784563,18.722804793648404,0.17994155264509284,huc_07080205_domain
14,1998-07-07,1998-07-07,SUS,eiwasus2,0.31,2451001.5,423409092283001,0.0005066302755290736,20.423482044278746,0.2354639929289417,huc_07080205_domain
15,1997-08-26,1997-08-26,LUS,eiwalusrc1,12.13,2450686.5,423018092200901,0.0038742996400318174,12.244314686347144,0.2599882214555971,huc_07080205_domain
16,1997-06-19,1997-06-19,LUS,eiwalusrc1,10.72,2450618.5,422426092272401,0.00013099696366269825,16.416331024675866,0.06706847300326603,huc_07080205_domain
17,1997-06-18,1997-06-18,LUS,eiwalusrc1,12.73,2450617.5,422918092183901,1.6211618516684577e-05,12.730001108288615,0.2229762318231956,huc_07080205_domain
18,1997-07-28,1997-07-28,LUS,eiwalusrc1,10.03,2450657.5,423459092530501,0.0004796446669693915,16.010128935616642,0.0975436989786162,huc_07080205_domain
0,2010-08-24,2010-08-24,LUS,uirblusrc1,8.2,2455432.5,422300087552501,0.18404463685291206,9.520086829002203,0.2679770614216784,huc_07120004_domain
0,2013-08-20,2013-08-20,PAS,glacpas1,4.91,2456524.5,430449096061301,0.00013146102692495533,4.975386058640132,0.3999999999971592,IA_Willow_02
1,2013-08-21,2013-08-21,PAS,glacpas1,3.29,2456525.5,431045095413901,2.3320558221122898e-05,1.5153898777722299,0.13583198348091358,IA_Willow_02
0,2013-08-26,2013-08-26,PAS,glacpas1,6.88,2456530.5,411432088234001,0.015712409573940544,9.007179564797699,0.39999999997253416,IL_West_Fork_Mazon_03
0,2013-08-28,2013-08-28,PAS,glacpas1,5.24,2456532.5,421600085350001,1.7823309193889752e-05,5.2399997247215655,0.19141803219708686,Kala2
1,2013-08-29,2013-08-29,PAS,glacpas1,6.94,2456533.5,423200084490001,0.461550027518968,9.162850627949162,0.10567040336053206,Kala2
0,2013-09-18,2013-09-18,PAS,glacpas1,5.76,2456553.5,435217095063401,0.0049556631293943346,8.573465324618475,0.24963709523288904,MN_Talcot_Lake-Des_Moines_04
0,2013-09-10,2013-09-10,PAS,glacpas1,4.8,2456545.5,400026091242501,0.007337762373740954,4.799999957178175,0.3377386304738462,MO_U16_Mississippi
0,2013-09-25,2013-09-25,PAS,glacpas1,0.05,2456560.5,400340093574501,0.440217360547896,0.0488668198540215,0.15609323692128124,MO_Wildcat_02
0,2015-04-22,2015-04-22,LUS,cnbrluscr1,6.47,2457134.5,421303097011601,0.6961259675480486,7.917585249649857,0.21172900449705911,NE_Upper_Logan_Creek_02
1,2015-05-12,2015-05-12,LUS,cnbrluscr1,3.64,2457154.5,422802097031601,0.041165323535123484,7.328031793973619,0.1355554976792745,NE_Upper_Logan_Creek_02
2,2015-04-16,2015-04-16,LUS,cnbrluscr1,4.03,2457128.5,415918096350501,0.08992786184875151,8.014367570605769,0.18707581987468988,NE_Upper_Logan_Creek_02
3,2015-04-22,2015-04-22,LUS,cnbrluscr1,7.11,2457134.5,420922096514401,0.0009335350176180922,8.112634384940849,0.15373511696999329,NE_Upper_Logan_Creek_02
4,2015-05-05,2015-05-05,LUS,cnbrluscr1,1.25,2457147.5,422011096595401,0.00013081585934474302,1.2500011636975927,0.2603215447309902,NE_Upper_Logan_Creek_02
5,2015-06-30,2015-06-30,LUS,cnbrluscr1,5.11,2457203.5,422031097043501,0.0035911141694080994,7.674187811623613,0.14923606546871754,NE_Upper_Logan_Creek_02
0,2013-09-16,2013-09-16,PAS,glacpas1,2.28,2456551.5,412938092380601,0.4508858991598045,8.284845147514792,0.3947088558839672,NorthSkunk
0,2014-05-07,2014-05-07,PAS,glacpas1,4.67,2456784.5,405213074254101,0.0011846688539396025,4.669999993227629,0.1404470498213025,NY_Ramapo_02
0,2014-08-19,2014-08-19,MSS,glacmss1,2.02,2456888.5,445347088175201,5.340142013173574e-05,2.020377865077955,0.2049522734484571,Oconto
1,2014-09-23,2014-09-23,MSS,glacmss1,3.22,2456923.5,445431088084401,0.004558370234776283,4.193611919943331,0.15770258329647074,Oconto
2,2013-07-25,2013-07-25,SUS,wmicsus2,7.36,2456498.5,451805088363101,1.1042756454415563,8.878099172625943,0.2559205913278263,Oconto
3,2014-09-22,2014-09-22,MSS,glacmss1,6.27,2456922.5,451918088363101,0.01813427099662247,6.812230395837353,0.3999999998529853,Oconto
4,2014-09-22,2014-09-22,MSS,glacmss1,7.62,2456922.5,451851088355001,0.008236248689836802,7.6200002599201735,0.1613259741179542,Oconto
0,2013-08-20,2013-08-20,PAS,glacpas1,3.56,2456524.5,413100080490000,3.773693982174468,4.197657466176453,0.278969061863984,OH_Three_Brothers_Creek-Grand_05
0,2013-09-17,2013-09-17,PAS,glacpas1,4.86,2456552.5,414101094303802,0.8429609017192174,8.939682158622064,0.15020898113593556,Racoon
0,2013-09-24,2013-09-24,PAS,glacpas1,7.45,2456559.5,445330097071801,0.0014546278220647127,8.814606304507912,0.010000239668323585,SD_Willow_07
0,1993-10-15,1993-10-15,FPS,whitfpsag1,11.91,2449275.5,394500085523101,1.699934576327469e-05,11.909999507074053,0.07460056133815057,SugarCreek
1,1994-08-03,1994-08-03,LUS,whitluscr1,8.78,2449567.5,394157085430401,1.5390149302214743e-08,8.780000500232372,0.01580580453859697,SugarCreek
2,1995-06-01,1995-06-01,LUS,whitluscr3a,21.63,2449869.5,393350085561701,2.5470034269009066e-06,33.69139640170052,0.010000000000266395,SugarCreek
3,1994-05-02,1994-05-02,FPS,whitfpsag1,0.09,2449474.5,394523085523302,0.5153296904344329,0.08973297299821156,0.16531122312917415,SugarCreek
4,1994-08-03,1994-08-03,LUS,whitluscr1,17.55,2449567.5,395633085460801,0.01232786652377584,26.122022530641733,0.21412289368159645,SugarCreek
5,2014-08-26,2014-08-26,LUS,whitluscr1,4.38,2456895.5,395633085460801,0.01232786652377584,10.631488261721476,0.21412289368159645,SugarCreek
6,1993-10-01,1993-10-01,FPS,whitfpsag1,0.13,2449261.5,394519085521801,1.2989734595003118e-06,0.12250432499385555,0.13065172470359612,SugarCreek
7,1994-04-18,1994-04-18,FPS,whitfpsag1,0.13,2449460.5,394519085521801,1.2989734595003118e-06,0.13731777568491155,0.13065172470359612,SugarCreek
8,1994-04-19,1994-04-19,FPS,whitfpsag1,0.09,2449461.5,394519085521802,0.029680745395625582,0.08999998743456998,0.13462087661135128,SugarCreek
